date,AAPL,MSFT,NVDA,AVGO,AMD,ADBE,CRM,CSCO,INTC,ORCL,QCOM,TXN
2020-07-01,True,True,True,True,False,True,True,True,True,True,True,True
2020-07-02,True,True,True,True,False,True,True,True,True,True,True,True
2020-07-06,True,True,True,True,False,True,True,True,True,True,True,True
2020-07-07,True,True,True,True,False,True,True,True,True,True,True,True
2020-07-08,True,True,True,True,False,True,True,True,True,True,True,True
2020-07-09,True,True,True,True,False,True,True,True,False,True,True,True
2020-07-10,True,True,True,True,True,True,True,True,False,True,True,True
2020-07-13,True,True,True,True,True,True,True,True,True,True,True,True
2020-07-14,True,True,True,True,True,True,True,True,True,True,True,True
2020-07-15,True,True,True,True,True,True,True,True,True,True,True,True
2020-07-16,True,True,True,True,True,True,True,True,True,True,True,True
2020-07-17,True,True,True,True,True,True,True,True,True,True,True,True
2020-07-20,True,True,True,True,True,True,True,True,True,True,True,True
2020-07-21,True,True,True,True,True,True,True,True,True,True,True,True
2020-07-22,True,True,True,True,True,True,True,True,True,True,True,True
2020-07-23,True,True,True,True,True,True,True,True,True,True,True,True
2020-07-24,True,True,True,True,True,True,True,True,True,True,True,True
2020-07-27,True,True,True,True,False,True,True,True,True,True,True,True
2020-07-28,True,True,True,True,False,True,True,True,False,True,True,True
2020-07-29,True,True,True,True,False,True,True,True,True,True,True,True
2020-07-30,True,True,True,True,False,True,True,True,False,True,True,True
2020-07-31,True,True,True,True,False,True,True,True,False,True,True,True
2020-08-03,True,True,True,True,False,True,True,True,False,True,True,True
2020-08-04,True,True,True,True,False,True,True,True,False,True,True,True
2020-08-05,True,True,True,True,False,True,True,True,False,True,True,True
2020-08-06,True,True,True,True,False,True,True,True,False,True,True,True
2020-08-07,True,True,True,True,False,True,True,True,False,True,True,True
2020-08-10,True,True,True,True,False,True,True,True,False,True,True,True
2020-08-11,True,True,True,True,False,True,True,True,False,True,True,True
2020-08-12,True,True,True,True,False,True,True,True,False,True,True,True
2020-08-13,True,True,True,True,False,True,True,True,False,True,True,True
2020-08-14,True,True,True,True,False,True,True,True,False,True,True,True
2020-08-17,True,True,True,True,False,True,True,True,True,True,True,True
2020-08-18,True,True,True,True,False,True,True,True,True,True,True,True
2020-08-19,True,True,True,True,False,True,True,True,True,True,True,True
2020-08-20,True,True,True,True,False,True,True,True,True,True,True,True
2020-08-21,True,True,True,True,False,True,True,True,True,True,True,True
2020-08-24,True,True,True,True,False,True,True,True,True,True,True,True
2020-08-25,True,True,True,True,False,True,True,True,True,True,True,True
2020-08-26,True,True,True,True,False,True,True,True,True,True,True,True
2020-08-27,True,True,True,True,False,True,False,True,True,True,True,True
2020-08-28,True,True,True,True,False,True,False,True,True,True,True,True
2020-08-31,True,True,True,True,False,True,False,True,True,True,True,True
2020-09-01,True,True,True,True,False,True,True,True,True,True,True,True
2020-09-02,True,True,True,True,False,True,True,True,True,True,True,True
2020-09-03,True,True,True,True,False,True,True,False,True,True,True,True
2020-09-04,True,True,True,True,False,True,False,False,True,True,True,True
2020-09-08,True,True,True,True,False,True,True,False,True,True,True,True
2020-09-09,True,True,True,True,False,True,False,False,True,True,True,True
2020-09-10,True,True,True,True,False,True,True,False,True,True,True,True
2020-09-11,True,True,True,True,False,True,False,False,True,True,True,True
2020-09-14,True,True,True,True,True,True,False,False,True,True,True,True
2020-09-15,True,True,True,True,True,True,False,False,True,True,True,True
2020-09-16,True,True,True,True,True,True,False,False,True,False,True,True
2020-09-17,True,True,True,False,True,True,False,True,True,False,True,True
2020-09-18,True,True,True,False,True,True,False,True,True,False,True,True
2020-09-21,True,True,True,False,True,True,False,True,True,False,True,True
2020-09-22,True,True,True,True,True,True,False,True,True,False,True,True
2020-09-23,True,True,True,False,True,True,True,True,True,False,True,True
2020-09-24,True,True,True,False,True,True,True,True,True,False,True,True
2020-09-25,True,True,True,False,True,True,True,True,True,False,True,True
2020-09-28,True,True,True,True,True,True,True,False,True,False,True,True
2020-09-29,True,True,True,False,True,True,True,True,False,True,True,True
2020-09-30,True,True,True,False,True,True,True,True,False,True,True,True
2020-10-01,True,True,True,True,True,True,True,True,False,True,True,True
2020-10-02,True,True,True,True,True,True,True,True,False,True,True,True
2020-10-05,True,True,True,True,True,True,True,True,False,True,True,True
2020-10-06,True,True,True,True,True,True,True,True,False,True,True,True
2020-10-07,True,True,True,True,True,True,True,True,False,True,True,True
2020-10-08,True,True,True,True,True,True,True,True,False,False,True,True
2020-10-09,True,True,True,True,True,True,True,True,False,False,True,True
2020-10-12,True,True,True,True,True,True,True,True,False,False,True,True
2020-10-13,True,True,True,True,True,True,True,True,False,True,True,True
2020-10-14,True,True,True,True,True,True,True,True,False,False,True,True
2020-10-15,True,True,True,True,True,True,True,True,False,False,True,True
2020-10-16,True,True,True,True,True,True,True,True,False,False,True,True
2020-10-19,True,True,True,True,False,True,True,True,False,True,True,True
2020-10-20,True,True,True,True,False,True,True,True,False,True,True,True
2020-10-21,True,True,True,True,False,True,True,True,False,True,True,True
2020-10-22,True,True,True,True,False,True,True,True,False,True,True,True
2020-10-23,True,True,True,True,False,True,True,True,False,True,True,True
2020-10-26,False,True,True,True,False,True,True,True,True,True,True,True
2020-10-27,True,True,True,True,False,True,True,True,True,True,True,True
2020-10-28,True,True,True,True,True,True,True,True,True,True,True,True
2020-10-29,True,True,True,True,True,True,True,True,True,True,True,True
2020-10-30,True,True,True,True,True,True,True,True,True,True,True,True
2020-11-02,True,True,True,True,True,True,True,True,True,True,True,True
2020-11-03,True,True,True,True,True,True,True,True,True,True,True,True
2020-11-04,True,True,True,True,True,True,True,True,True,True,True,True
2020-11-05,True,True,True,True,True,True,True,True,True,True,True,True
2020-11-06,True,True,True,True,True,True,True,True,True,True,True,True
2020-11-09,True,True,True,True,True,True,True,True,True,True,True,True
