fold_id,stock,factor_set,factors,candidate,family,selection_score,active_days,mr_probability_entry,mr_entry_score,cum_return,mean_bar_return,bar_vol,sharpe,max_drawdown,hit_rate,turnover,avg_gross_exposure,active_rate,position_change_count,selected
13.0,AAPL,XLK,XLK,mr_p040_s150,mean_reversion,1.585610274178725,18.0,0.4,1.5,0.003875465856459037,3.228525709838898e-05,0.0003228078439006881,1.5876707380580093,-0.00177458639307837,0.09166666666666666,0.00824185551713748,0.011447819158998895,0.15,0.9890226620564976,True
13.0,MSFT,QQQ_XLK,"QQQ,XLK",mr_p040_s125,mean_reversion,2.031441587033183,44.0,0.4,1.25,0.0046341873077475615,3.857466375142189e-05,0.00030103664130768845,2.0341503961284126,-0.001526407233325977,0.225,0.010835236380919011,0.03749654620320408,0.36666666666666664,1.3002283657102813,True
13.0,NVDA,SPY_XLK,"SPY,XLK",mr_p030_s200,mean_reversion,2.1610914511931147,14.0,0.3,2.0,0.004433647068197377,3.6902420038480214e-05,0.0002707739733016773,2.1634566647841216,-0.0013660963357876588,0.08333333333333333,0.009460854364027048,0.03355628541360455,0.11666666666666667,1.1353025236832457,True
,AVGO,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
13.0,AMD,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p030_s175,mean_reversion,1.624613395082973,22.0,0.3,1.75,0.005155405768024313,4.2938841708671574e-05,0.00041797105121380387,1.6308138530129979,-0.0023141209494417225,0.11666666666666667,0.024801831720099032,0.04953173527665957,0.18333333333333332,2.976219806411884,True
,ADBE,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
13.0,CRM,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p040_s125,mean_reversion,0.8910663757303973,33.0,0.4,1.25,0.003965267424055785,3.314969134510748e-05,0.0005867840450093975,0.8968121074556484,-0.005106878768427192,0.15833333333333333,0.022982926901004747,0.07088642560541908,0.275,2.75795122812057,False
,CSCO,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
,INTC,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
13.0,ORCL,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p035_s125,mean_reversion,0.7743713766052183,26.0,0.35,1.25,0.002930413849225433,2.450818881475156e-05,0.0004990523218577938,0.7795884701675572,-0.005313173216896283,0.125,0.020868374249355788,0.052198293230118285,0.21666666666666667,2.5042049099226946,False
,QCOM,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
13.0,TXN,XLK,XLK,mr_p040_s150,mean_reversion,1.688215339017643,28.0,0.4,1.5,0.003724884521511873,3.1025645993693056e-05,0.00029154421574926234,1.6893384769129371,-0.0014710880127308812,0.11666666666666667,0.004492551581176135,0.02070081516568906,0.23333333333333334,0.5391061897411362,True
